#"Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
502.00000000166887,4642.6627197265625,297.79920924474703
504.0000000016784,4766.480041503906,298.11249784949996
506.00000000168797,4662.8314208984375,332.20417292915687
508.0000000016975,4611.8233642578125,290.9655390678278
510.00000000170706,4694.664794921875,257.9843617059644
512.0000000017166,4649.561584472656,313.48400814052025
514.0000000016693,4556.504943847656,301.52100267243435
516.000000001622,4571.015380859375,300.2818503506992
518.0000000015747,4588.75341796875,286.911097312881
520.0000000015274,4688.954040527344,318.2737776798311
522.0000000014801,4647.743225097656,297.16358247790555
524.0000000014328,4628.961608886719,315.23682422987196
526.0000000013855,4637.229064941406,301.60287854773765
528.0000000013382,4634.256042480469,316.7126084071532
530.0000000012909,4548.02880859375,308.23984185010477
532.0000000012436,4708.636474609375,306.59245112308037
534.0000000011963,4559.292419433594,308.7309377059665
536.000000001149,4566.739074707031,334.7200295181528
538.0000000011017,4580.373474121094,338.74232125635933
540.0000000010544,4706.0531005859375,307.6160631348641
542.0000000010072,4658.853698730469,290.2130718663884
544.0000000009599,4573.379089355469,283.5332553268889
546.0000000009126,4607.1265869140625,279.20496350310174
548.0000000008653,4626.548522949219,304.0958224216001
550.000000000818,4574.327392578125,297.2371628752258
552.0000000007707,4657.81689453125,291.73319260624874
554.0000000007234,4517.467102050781,284.42083201219987
556.0000000006761,4609.095275878906,284.11550673411404
558.0000000006288,4591.760986328125,289.7300685218183
560.0000000005815,4649.955627441406,306.6369663921926
562.0000000005342,4633.796691894531,315.86694701814963
564.0000000004869,4616.795471191406,280.6568649109552
566.0000000004396,4593.7764892578125,285.9403328140271
568.0000000003923,4616.844055175781,308.31226448708617
570.000000000345,4665.749816894531,295.1422051823934
572.0000000002977,4577.344482421875,293.61579658844005
574.0000000002505,4587.495849609375,270.99498463694647
576.0000000002032,4542.686218261719,262.12333279077234
578.0000000001559,4511.032043457031,311.94317037224124
580.0000000001086,4658.919189453125,303.73009808802
582.0000000000613,4565.8172607421875,283.51190638607875
584.000000000014,4625.274597167969,278.98687831264647
585.9999999999667,4598.035888671875,314.8887056966795
587.9999999999194,4652.244934082031,301.29881736616824
589.9999999998721,4619.504638671875,264.7258083618295
591.9999999998248,4557.9228515625,289.85443420511643
593.9999999997775,4564.330261230469,276.82962140976946
595.9999999997302,4584.722839355469,292.4135449545933
597.9999999996829,4624.0068359375,309.63442052560674
599.9999999996356,4555.184875488281,308.9245803487841
601.9999999995883,4622.5084228515625,297.6724209030236
603.999999999541,4635.1043701171875,306.83882584446116
605.9999999994938,4637.2421875,292.8288015873052
607.9999999994465,4663.123962402344,295.6241818270117
609.9999999993992,4659.108154296875,294.83981123989696
611.9999999993519,4576.066467285156,305.551113042824
613.9999999993046,4575.9632568359375,260.51797166837173
615.9999999992573,4610.8638916015625,321.5091585506304
617.99999999921,4528.0205078125,303.43593476449814
619.9999999991627,4625.002197265625,323.208661253426
621.9999999991154,4582.4971923828125,321.21665533324636
623.9999999990681,4705.465637207031,306.464160172301
625.9999999990208,4676.9176025390625,308.9853354328955
627.9999999989735,4607.70458984375,284.0590619733038
629.9999999989262,4603.7236328125,318.86058098723515
631.9999999988789,4650.338073730469,271.8186612392775
633.9999999988316,4560.6693115234375,290.51206229971484
635.9999999987843,4647.3646240234375,304.4049616600708
637.999999998737,4688.4317626953125,336.96258460076217
639.9999999986898,4664.987854003906,305.47926086019356
641.9999999986425,4600.4698486328125,292.7136568195094
643.9999999985952,4652.412109375,276.41271332846776
645.9999999985479,4627.8067626953125,284.5305970006172
647.9999999985006,4576.0933837890625,331.99760607984837
649.9999999984533,4650.588806152344,338.32818959518335
651.999999998406,4602.945068359375,296.36335237375334
653.9999999983587,4566.6751708984375,314.44627088440853
655.9999999983114,4659.436706542969,288.8457261560462
657.9999999982641,4609.932189941406,290.02060034182807
659.9999999982168,4584.3326416015625,289.50456835260763
661.9999999981695,4597.094055175781,311.44645541281665
663.9999999981222,4637.495544433594,322.031860013533
665.9999999980749,4543.5628662109375,291.71536807357825
667.9999999980276,4655.1513671875,281.2349603831733
669.9999999979804,4594.455078125,319.46962622731456
671.9999999979331,4582.1011962890625,323.10668581309363
673.9999999978858,4615.625732421875,286.1064724334425
675.9999999978385,4622.838684082031,286.23777095340796
677.9999999977912,4711.6575927734375,301.9447257030254
679.9999999977439,4638.653869628906,310.967959686206
681.9999999976966,4606.407043457031,297.0762530210066
683.9999999976493,4609.317321777344,298.094056134656
685.999999997602,4717.668701171875,282.975308472816
687.9999999975547,4660.158020019531,302.92669706806555
689.9999999975074,4601.344665527344,320.00064365194186
691.9999999974601,4512.392578125,304.099829883632
693.9999999974128,4532.344055175781,290.3932165220712
695.9999999973655,4619.719482421875,289.4072626696066
697.9999999973182,4554.132263183594,322.94852526963865
699.999999997271,4544.808410644531,297.7690491678714
701.9999999972237,4658.796142578125,293.14711799482177
703.9999999971764,4663.553894042969,283.66685873939656
705.9999999971291,4604.661437988281,306.4119336748565
707.9999999970818,4540.2091064453125,286.5012718536627
709.9999999970345,4605.238464355469,286.0308307497186
711.9999999969872,4592.809753417969,314.1663364526689
713.9999999969399,4666.4580078125,321.01765354147494
715.9999999968926,4650.668518066406,335.82717105229443
717.9999999968453,4618.927734375,294.71905474535225
719.999999996798,4717.238037109375,303.5581996471068
721.9999999967507,4635.437438964844,292.58904468116583
723.9999999967034,4504.5201416015625,312.7380152996788
725.9999999966561,4542.2352294921875,292.146036976349
727.9999999966088,4674.413269042969,296.8239899379087
729.9999999965615,4603.920471191406,305.27775393541515
731.9999999965142,4612.2149658203125,316.49535577759906
733.999999996467,4577.455078125,314.8464445927345
735.9999999964197,4591.484558105469,315.8919120886273
737.9999999963724,4623.2037353515625,302.7258361318984
739.9999999963251,4662.112548828125,318.33397304825803
741.9999999962778,4673.719299316406,348.689722515116
743.9999999962305,4631.7718505859375,320.853636504708
745.9999999961832,4623.3338623046875,308.225696109127
747.9999999961359,4642.992004394531,326.38090999561047
749.9999999960886,4567.811218261719,279.12865539977156
751.9999999960413,4764.494873046875,286.0399985832159
753.999999995994,4558.968811035156,320.05729125468895
755.9999999959467,4596.4647216796875,302.51861224535213
757.9999999958994,4678.462707519531,308.4760651556829
759.9999999958521,4586.848449707031,312.52653613353436
761.9999999958048,4668.917419433594,298.5587394738115
763.9999999957575,4527.5450439453125,313.72602942332395
765.9999999957103,4616.655456542969,268.76208716987657
767.999999995663,4665.685546875,316.16791022085357
769.9999999956157,4750.585144042969,271.58245712633567
771.9999999955684,4648.52734375,313.63539823559614
773.9999999955211,4590.216613769531,311.20583024909666
775.9999999954738,4653.172180175781,297.5564060410001
777.9999999954265,4581.3294677734375,290.9916492288019
779.9999999953792,4565.7635498046875,300.7500883374791
781.9999999953319,4681.136047363281,279.4802784796529
783.9999999952846,4632.462463378906,279.5731173171932
785.9999999952373,4666.8863525390625,296.62577467884864
787.99999999519,4636.722595214844,285.04736230571416
789.9999999951427,4619.6177978515625,303.8736155674748
791.9999999950954,4714.373962402344,295.7024095877849
793.9999999950481,4559.614318847656,298.0875120383634
